genre,danceability,energy,acousticness,instrumentalness,valence,speechiness,loudness,tempo
instrumental,0.225,0.0131,0.976,0.958,0.0762,0.0405,-29.096,64.27
instrumental,0.332,0.0219,0.993,0.922,0.28300000000000003,0.0426,-21.982,167.37099999999998
instrumental,0.235,0.0282,0.922,0.9109999999999999,0.192,0.0443,-33.656,121.39
instrumental,0.203,0.00541,0.981,0.902,0.0511,0.0382,-32.599000000000004,69.264
instrumental,0.142,0.0412,0.963,0.813,0.0369,0.0466,-22.866,67.3
instrumental,0.426,0.0285,0.991,0.938,0.312,0.0379,-23.47,73.84899999999999
instrumental,0.257,0.0328,0.995,0.7759999999999999,0.146,0.0446,-31.575,110.289
instrumental,0.256,0.00486,0.993,0.872,0.057999999999999996,0.0403,-33.196999999999996,68.869
instrumental,0.365,0.0333,0.9940000000000001,0.909,0.54,0.0396,-22.649,68.63
instrumental,0.387,0.00487,0.996,0.9570000000000001,0.212,0.0584,-33.84,70.309
instrumental,0.15,0.0883,0.9309999999999999,0.95,0.0392,0.0418,-22.406,137.014
instrumental,0.39399999999999996,0.0281,0.995,0.9690000000000001,0.301,0.0666,-23.71,200.615
instrumental,0.23800000000000002,0.0848,0.985,0.898,0.168,0.0357,-22.482,167.50599999999997
instrumental,0.514,0.0282,0.995,0.95,0.244,0.0693,-20.249000000000002,96.015
instrumental,0.40700000000000003,0.0299,0.9940000000000001,0.878,0.26899999999999996,0.036000000000000004,-29.699,119.75
instrumental,0.0793,0.163,0.867,0.9079999999999999,0.0347,0.0368,-22.164,76.074
instrumental,0.17800000000000002,0.009859999999999999,0.993,0.802,0.0911,0.0403,-24.756999999999998,92.709
instrumental,0.11699999999999999,0.121,0.7809999999999999,0.816,0.0383,0.047,-22.695,85.191
instrumental,0.204,0.0113,0.973,0.8540000000000001,0.111,0.0433,-31.284000000000002,78.134
instrumental,0.36,0.00867,0.9940000000000001,0.9390000000000001,0.253,0.0633,-38.123000000000005,67.16199999999999
instrumental,0.273,0.0065,0.973,0.946,0.23399999999999999,0.0366,-27.214000000000002,63.427
instrumental,0.115,0.0197,0.966,0.9279999999999999,0.0651,0.0375,-25.263,78.449
